"datos de autores"
Horacio|Quiroga|44967223|Salto
"Adolfo|Bioy Casares|49867020|Buenos Aires"
"Mario|Vargas LLosa|45487723|Lima"
Mempo|Giardinelli|42862428|Resistencia
Victoria|Ocampo|48342919|Beccar
"Rodolfo|Walsh|98430462|Choele Choel"
"Leopoldo|Lugones|46589932|Río Seco"
Esteba|Echeverría|48367128|
Frank|Kafka|79386445|Praga
Ernesto|Sábato|45854620|Rojas
"Jorge Luis|Borges|62972723|Buenos Aires"
"Tomas Eloy|Martinez|57456402|San Miguel"
Roberto|Arlt|49354228|Flores
Alejandro|Dolina|69968275|Morse
Felipe|Pigna|25479982|Mercedes
Julio|Cortazar|48432991|Ixelles
Ricardo|Piglia|43547128|Adrogué
"Juan José|Saer|45349219|Serodino"
Silvina|Ocampo|39468853|Microcentro
"Manuel|Puig|48367128|General Villegas"
"José|Hernández|74484982|Chacras de Perdirel"
"Antonio|Di Benedetto|88260752|Bermejo"
Rodolfo|Fogwill|49810752|Quilmes
